year,indicator_id,indicator_name,metric,value,last_updated
1972,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1971,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1970,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1969,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1968,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1967,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1966,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1965,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1964,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1963,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1962,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1961,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
1960,PA.NUS.FCRF,"Official exchange rate (LCU per US$, period average)",official_exchange_rate_lcu_per_usd,,2026-04-08
